"Input","Match.type","Approved.symbol","Approved.name","HGNC.ID","Location"
"1","A1BG","Approved symbol","A1BG","alpha-1-B glycoprotein","HGNC:5","19q13.43"
"2","A1BG-AS1","Approved symbol","A1BG-AS1","A1BG antisense RNA 1","HGNC:37133","19q13.43"
"3","A1CF","Approved symbol","A1CF","APOBEC1 complementation factor","HGNC:24086","10q11.23"
"4","A2M","Approved symbol","A2M","alpha-2-macroglobulin","HGNC:7","12p13.31"
"5","A2M-AS1","Approved symbol","A2M-AS1","A2M antisense RNA 1","HGNC:27057","12p13.31"
"6","A2ML1","Approved symbol","A2ML1","alpha-2-macroglobulin like 1","HGNC:23336","12p13.31"
"7","A4GALT","Approved symbol","A4GALT","alpha 1,4-galactosyltransferase (P blood group)","HGNC:18149","22q13.2"
"8","A4GNT","Approved symbol","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase","HGNC:17968","3q22.3"
"9","AA06","Unmatched",NA,NA,NA,NA
"10","AAAS","Approved symbol","AAAS","aladin WD repeat nucleoporin","HGNC:13666","12q13.13"
"11","AACS","Approved symbol","AACS","acetoacetyl-CoA synthetase","HGNC:21298","12q24.31"
"12","AACSP1","Approved symbol","AACSP1","acetoacetyl-CoA synthetase pseudogene 1","HGNC:18226","5q35.3"
"13","AADAC","Approved symbol","AADAC","arylacetamide deacetylase","HGNC:17","3q25.1"
"14","AADACL2","Approved symbol","AADACL2","arylacetamide deacetylase like 2","HGNC:24427","3q25.1"
"15","AADACP1","Approved symbol","AADACP1","arylacetamide deacetylase pseudogene 1","HGNC:50305","3q25.1"
"16","AADAT","Approved symbol","AADAT","aminoadipate aminotransferase","HGNC:17929","4q33"
"17","AAED1","Previous symbol","PRXL2C","peroxiredoxin like 2C","HGNC:16881","9q22.33"
"18","AAGAB","Approved symbol","AAGAB","alpha and gamma adaptin binding protein","HGNC:25662","15q23"
"19","AAK1","Approved symbol","AAK1","AP2 associated kinase 1","HGNC:19679","2p13.3"
"20","AAMDC","Approved symbol","AAMDC","adipogenesis associated Mth938 domain containing","HGNC:30205","11q14.1"
"21","AAMP","Approved symbol","AAMP","angio associated migratory cell protein","HGNC:18","2q35"
"22","AANAT","Approved symbol","AANAT","aralkylamine N-acetyltransferase","HGNC:19","17q25.1"
"23","AAR2","Approved symbol","AAR2","AAR2 splicing factor","HGNC:15886","20q11.23"
"24","AARS","Previous symbol","AARS1","alanyl-tRNA synthetase 1","HGNC:20","16q22.1"
"25","AARS2","Approved symbol","AARS2","alanyl-tRNA synthetase 2, mitochondrial","HGNC:21022","6p21.1"
"26","AASDH","Approved symbol","AASDH","aminoadipate-semialdehyde dehydrogenase","HGNC:23993","4q12"
"27","AASDHPPT","Approved symbol","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","HGNC:14235","11q22.3"
"28","AASS","Approved symbol","AASS","aminoadipate-semialdehyde synthase","HGNC:17366","7q31.32"
"29","AATBC","Approved symbol","AATBC","apoptosis associated transcript in bladder cancer","HGNC:51526","21q22.3"
"30","AATF","Approved symbol","AATF","apoptosis antagonizing transcription factor","HGNC:19235","17q12"
"31","AATK","Approved symbol","AATK","apoptosis associated tyrosine kinase","HGNC:21","17q25.3"
"32","ABAT","Approved symbol","ABAT","4-aminobutyrate aminotransferase","HGNC:23","16p13.2"
"33","ABCA1","Approved symbol","ABCA1","ATP binding cassette subfamily A member 1","HGNC:29","9q31.1"
"34","ABCA11P","Approved symbol","ABCA11P","ATP binding cassette subfamily A member 11, pseudogene","HGNC:31","4p16.3"
"35","ABCA12","Approved symbol","ABCA12","ATP binding cassette subfamily A member 12","HGNC:14637","2q35"
"36","ABCA13","Approved symbol","ABCA13","ATP binding cassette subfamily A member 13","HGNC:14638","7p12.3"
