"var","rel.inf"
"ZDHHC23","ZDHHC23",6.13652726158009
"RIDA","RIDA",4.11739556043574
"SORL1","SORL1",3.54844078926998
"ARL4C","ARL4C",2.95073370932493
"OTUD1","OTUD1",2.82593548714139
"NRN1","NRN1",2.19509594944218
"BMPR1A","BMPR1A",2.14119541649348
"STK32B","STK32B",2.13874106259965
"TSPAN13","TSPAN13",2.13214706751462
"NSUN6","NSUN6",2.11354291524526
"SPON1","SPON1",2.0144840267659
"ABCB1","ABCB1",1.99346597312733
"SEC14L2","SEC14L2",1.76645229885341
"CASTOR1","CASTOR1",1.54576231124207
"X14q32.2","X14q32.2",1.51723543067763
"PRKX","PRKX",1.40042355751288
"PNRC1","PNRC1",1.21356041468003
"BLNK","BLNK",1.16562825859646
"HAPLN4","HAPLN4",1.16518671796678
"BUD31","BUD31",1.08637714701205
"CHODL","CHODL",1.03608646272475
"ZCCHC12","ZCCHC12",1.03061951691264
"BHLHB9","BHLHB9",1.0116241332905
"MXI1","MXI1",1.00691411805806
"X1p36.31","X1p36.31",0.98589016332415
"THAP2","THAP2",0.985554739341303
"WWTR1","WWTR1",0.982406152571525
"LOC389895","LOC389895",0.978740869375445
"NAPSB","NAPSB",0.961128265362838
"LSAMP","LSAMP",0.934667940498262
"ARHGAP36","ARHGAP36",0.924608324300697
"LPL","LPL",0.923101534382954
"PIPOX","PIPOX",0.916293530519739
"APLP1","APLP1",0.863741683642756
"X21q11.1","X21q11.1",0.855544318212715
"CPE","CPE",0.843171482872868
"TYMS","TYMS",0.808291519053051
"ZNF462","ZNF462",0.789042342813141
"SPARC","SPARC",0.787622139006818
"X21q11.2","X21q11.2",0.783559359111509
"PDXP","PDXP",0.762128906726242
"NPY1R","NPY1R",0.757321663793942
"CHIT1","CHIT1",0.750662290434548
"SCN3B","SCN3B",0.691977859068479
"LINC01351","LINC01351",0.688017315956131
"SPRY4","SPRY4",0.66126839932649
"DOC2A","DOC2A",0.653704801713876
"PXYLP1","PXYLP1",0.652394372929003
"HTATIP2","HTATIP2",0.635993797863564
"INAFM1","INAFM1",0.622377181350318
"AGO2","AGO2",0.607812240625954
"SCG2","SCG2",0.595305191582325
"SYN2","SYN2",0.589068317708674
"NDP","NDP",0.583581652667143
"SUPT16H","SUPT16H",0.577971142408164
"ASB3","ASB3",0.577709183104933
"ATXN1","ATXN1",0.551728900665022
"ABHD2","ABHD2",0.54323005852398
"ZC3H12C","ZC3H12C",0.538833349383751
"GAL3ST1","GAL3ST1",0.520060800186706
"NDNF","NDNF",0.519403090766027
"TDRD9","TDRD9",0.518028934314638
"IER5","IER5",0.487379584769897
"RAB27A","RAB27A",0.485102331351961
"VANGL2","VANGL2",0.474280948145262
"GLRX2","GLRX2",0.461420665698703
"GPIHBP1","GPIHBP1",0.457934201158689
"LINC01116","LINC01116",0.438912429662398
"FRRS1L","FRRS1L",0.435761575849702
"ADAM1A","ADAM1A",0.421005435194953
"GPRASP1","GPRASP1",0.417406015277812
"C2orf80","C2orf80",0.393046358207248
"LUM","LUM",0.386494549287068
"MIR29C","MIR29C",0.380576402158492
"RNF180","RNF180",0.375821456137961
"MVP","MVP",0.371238024048186
"GPT2","GPT2",0.364088272256076
"NANOS1","NANOS1",0.362144501769589
"CX3CR1","CX3CR1",0.341514065524068
"ANGPTL2","ANGPTL2",0.335026145746008
"FAP","FAP",0.331480929869451
"EFS","EFS",0.327555573699336
"X14q32.33","X14q32.33",0.318266508180011
"FAM149A","FAM149A",0.306143086792505
"COL3A1","COL3A1",0.303832191100793
"MALAT1","MALAT1",0.296432116693389
"TMEM59L","TMEM59L",0.289751385440618
"GLUL","GLUL",0.285027880249993
"ZNF300P1","ZNF300P1",0.27967072625374
"AP3B2","AP3B2",0.276956206822919
"CACNA1A","CACNA1A",0.27063627041538
"LRRCC1","LRRCC1",0.267128382891011
"FAM214A","FAM214A",0.266126916485848
"NME7","NME7",0.265658840645833
"KBTBD7","KBTBD7",0.265215958196648
"LRRC4","LRRC4",0.258607816287597
"PRMT3","PRMT3",0.24043430528918
"ANO3","ANO3",0.238086112189513
"SLC25A33","SLC25A33",0.23317089224048
"DPYSL5","DPYSL5",0.232468857473655
"`IGHV3-9`","`IGHV3-9`",0.227065795044704
"NCEH1","NCEH1",0.22342674371404
"FAIM","FAIM",0.210119727321668
"FBLN7","FBLN7",0.206489537731231
"TTYH3","TTYH3",0.205219673375233
"KPNA5","KPNA5",0.201359953675632
"SCAPER","SCAPER",0.199925274404692
"COL9A2","COL9A2",0.198079506042526
"ACP5","ACP5",0.196438840953137
"ERMP1","ERMP1",0.193663947606381
"FRMPD3","FRMPD3",0.19152730238533
"LONRF1","LONRF1",0.184328715754741
"PCDH9","PCDH9",0.181806758678481
"IL17RB","IL17RB",0.167526688924027
"HEY2","HEY2",0.167075915345918
"DDX3Y","DDX3Y",0.153170908185826
"FAM50B","FAM50B",0.152126065767912
"TRIO","TRIO",0.150128143453914
"CHST1","CHST1",0.14756404241299
"PIK3CA","PIK3CA",0.142991856000749
"ZNF665","ZNF665",0.138240571976832
"GAS7","GAS7",0.134976983102203
"CTNND2","CTNND2",0.13328188624408
"HIST1H4C","HIST1H4C",0.132415050976649
"NGFR","NGFR",0.125521154771658
"RYR3","RYR3",0.125229782341081
"ABLIM1","ABLIM1",0.122752313742364
"DZIP1","DZIP1",0.111237955281104
"CLIC6","CLIC6",0.111023977567006
"CLEC3B","CLEC3B",0.10928556017597
"KDELC2","KDELC2",0.104412737329132
"X2p25.3","X2p25.3",0.0967181441913372
"PSMB10","PSMB10",0.0956581041335582
"TMEM220","TMEM220",0.094333099863079
"RAB15","RAB15",0.094193777747562
"PLEKHA4","PLEKHA4",0.08485819477389
"X22q11.22","X22q11.22",0.0837021287414372
"MAOB","MAOB",0.083092714017466
"X15q11.2","X15q11.2",0.0830318484504512
"TPM1","TPM1",0.0820853604838306
"X12q12","X12q12",0.0811550525954692
"GNG2","GNG2",0.0747900236592233
"RHBDL3","RHBDL3",0.0737898359664467
"BIN1","BIN1",0.0728595727024586
"SDC1","SDC1",0.0723063954648309
"FKBP1B","FKBP1B",0.0715806488800937
"CDC20","CDC20",0.0712193538296373
"CSMD3","CSMD3",0.0701677549161738
"CD9","CD9",0.0692230774449266
"CUX2","CUX2",0.0681816436129516
"FRS2","FRS2",0.0663468344382965
"STXBP5L","STXBP5L",0.0660119721362932
"RASGRP1","RASGRP1",0.0647267410247538
"ART3","ART3",0.062807618102908
"X2q37.3","X2q37.3",0.0624160877045698
"SCN2A","SCN2A",0.0618770587923746
"BTBD3","BTBD3",0.05926146053355
"BEND5","BEND5",0.0587104407609621
"CACHD1","CACHD1",0.0578147700314424
"ABCC8","ABCC8",0.0574488091831453
"PPP1R14C","PPP1R14C",0.0563562558262313
"LIFR","LIFR",0.0550258246044105
"`DLX6-AS1`","`DLX6-AS1`",0.0506177112161305
"MSX1","MSX1",0.0499659838519606
"ZFYVE21","ZFYVE21",0.0488671810969479
"GDAP1","GDAP1",0.048739823414958
"NQO2","NQO2",0.0464912806632586
"FAM168A","FAM168A",0.0462556838465674
"SLC35E3","SLC35E3",0.0456698290570871
"PLEKHH2","PLEKHH2",0.045479889393542
"METTL1","METTL1",0.0447697883029658
"FAM181A","FAM181A",0.0440516978560431
"FTH1","FTH1",0.0436586071548612
"TXNIP","TXNIP",0.0419637480222276
"FAM213A","FAM213A",0.0405826187863024
"CRISPLD1","CRISPLD1",0.0392645720157625
"NEK7","NEK7",0.0391988316288267
"GABRB2","GABRB2",0.0391255643927386
"ABCG2","ABCG2",0.0387796264934844
"TPM4","TPM4",0.0387179574816719
"LONRF2","LONRF2",0.0386849359177952
"PPARGC1A","PPARGC1A",0.0386230356938283
"PERP","PERP",0.0375950817439857
"CDKN1A","CDKN1A",0.035763689516804
"SEZ6L2","SEZ6L2",0.0356630396736178
"GMFG","GMFG",0.0354244303535513
"MARVELD1","MARVELD1",0.0352185221225948
"STAT5A","STAT5A",0.0337546653013173
"CX3CL1","CX3CL1",0.0333164010822227
"MSANTD2","MSANTD2",0.0317691123296977
"MMP14","MMP14",0.0317225271633626
"CPNE6","CPNE6",0.0296819697389045
"CHAC2","CHAC2",0.0295707828045507
"CTNNAL1","CTNNAL1",0.0286188361609824
"X18q22.2","X18q22.2",0.0282358646774491
"PRR36","PRR36",0.0281469120649294
"CDCA7L","CDCA7L",0.0278292558354915
"IL1B","IL1B",0.0264450087560645
"STAB1","STAB1",0.0257200773336026
"X19q12","X19q12",0.0255013520831964
"X22q13.2","X22q13.2",0.025324751367871
"GALNS","GALNS",0.0238483767609317
"USP9Y","USP9Y",0.0223840942997608
"X13q12.11","X13q12.11",0.0222315373965
"WASHC4","WASHC4",0.0221293886018117
"SLCO1C1","SLCO1C1",0.0215722571957443
"ARAP3","ARAP3",0.0214270538576059
"DNM1","DNM1",0.0211635926242786
"VAV3","VAV3",0.0209088030573313
"ENO2","ENO2",0.0207851039142555
"YWHAH","YWHAH",0.0207779393964074
"TM4SF1","TM4SF1",0.0207060460623011
"SOCS6","SOCS6",0.0206071603190856
"IGFBP2","IGFBP2",0.0204824266745678
"KAT2B","KAT2B",0.0197967663650751
"TCTN1","TCTN1",0.0192809048761395
"GPC1","GPC1",0.0189950184547544
"TAGLN2","TAGLN2",0.0189101146783077
"NAT8L","NAT8L",0.0187515868849204
"DCUN1D1","DCUN1D1",0.018103573948494
"X12q21.33","X12q21.33",0.018074150634721
"METTL7A","METTL7A",0.0180211040176605
"SLITRK5","SLITRK5",0.0177773423588372
"HSBP1L1","HSBP1L1",0.0166036379772157
"RASD2","RASD2",0.0154284124583899
"CTDSP2","CTDSP2",0.0152080402602263
"SLC39A1","SLC39A1",0.0148433680165812
"ABCA8","ABCA8",0.0147558399752037
"RFLNB","RFLNB",0.0145681639295929
"CNTN1","CNTN1",0.0137448172142113
"SLC26A10","SLC26A10",0.0136709385301485
"SLC24A3","SLC24A3",0.012695687664188
"HSDL2","HSDL2",0.0125934103459856
"LCP2","LCP2",0.0125216409380477
